oldvar,RPP.LANDCLIMII
Ruderals,zz.do not use
Rum a/a,Rumex acetosa-t
Rum obt,Rumex acetosa-t
Rum. acetosa gr.                        ,Rumex acetosa-t
RumA/A,Rumex acetosa-t
RumAcel,Rumex acetosa-t
RumAcell,Rumex acetosa-t
RumAcesa,Rumex acetosa-t
RumAcet,Rumex acetosa-t
Rumeac,Rumex acetosa-t
Rumex,Rumex acetosa-t
RUMEX,Rumex acetosa-t
rumex,Rumex acetosa-t
Rumex,Rumex acetosa-t
RUMEX,Rumex acetosa-t
Rumex ,Rumex acetosa-t
RUMEX  SP.,Rumex acetosa-t
Rumex a,Rumex acetosa-t
Rumex a/a,Rumex acetosa-t
Rumex ac./acet.,Rumex acetosa-t
Rumex ac/ac-type,Rumex acetosa-t
Rumex acet,Rumex acetosa-t
RUMEX ACET.,Rumex acetosa-t
Rumex acet.,Rumex acetosa-t
RUMEX ACET. ,Rumex acetosa-t
rumex acetacella,Rumex acetosa-t
RUMEX ACETOCA/ACETOCELLA,Rumex acetosa-t
Rumex acetocella,Rumex acetosa-t
Rumex acetosa,Rumex acetosa-t
RUMEX ACETOSA,Rumex acetosa-t
rumex acetosa,Rumex acetosa-t
Rumex acetosa ,Rumex acetosa-t
RUMEX ACETOSA * ingår i 91,Rumex acetosa-t
Rumex acetosa rå,Rumex acetosa-t
Rumex acetosa t.,Rumex acetosa-t
Rumex acetosa T.,Rumex acetosa-t
Rumex acetosa type,Rumex acetosa-t
RUMEX ACETOSA TYPE,Rumex acetosa-t
Rumex acetosa type acetosa/acetosella type,Rumex acetosa-t
Rumex acetosa type/R. acetosella type,Rumex acetosa-t
Rumex acetosa/acetocella rå,Rumex acetosa-t
Rumex acetosa/acetosella,Rumex acetosa-t
RUMEX ACETOSA/ACETOSELLA,Rumex acetosa-t
RUMEX ACETOSA/ACETOSELLA ,Rumex acetosa-t
"Rumex acetosa/acetosella - ängssyra, bergssyra",Rumex acetosa-t
Rumex acetosa/acetosella - sorrel,Rumex acetosa-t
Rumex acetosa/acetosella rå,Rumex acetosa-t
Rumex acetosa/acetosella t.,Rumex acetosa-t
Rumex acetosa/acetosella type,Rumex acetosa-t
Rumex acetosa/acetosella-type,Rumex acetosa-t
Rumex acetosa/R. acetosella,Rumex acetosa-t
Rumex acetosa/R. acetosella -t.,Rumex acetosa-t
Rumex acetosa/R. acetosella-type,Rumex acetosa-t
Rumex acetosa/R.acetosella-type,Rumex acetosa-t
Rumex acetosa/Rumex acetosella,Rumex acetosa-t
Rumex acetosa-t,Rumex acetosa-t
Rumex acetosa-Typ,Rumex acetosa-t
Rumex acetosa-type,Rumex acetosa-t
Rumex acetosa-type,Rumex acetosa-t
Rumex acetosa-type                      ,Rumex acetosa-t
Rumex acetosa-type/Oxyria,Rumex acetosa-t
Rumex acetosella,Rumex acetosa-t
rumex acetosella,Rumex acetosa-t
RUMEX ACETOSELLA,Rumex acetosa-t
Rumex acetosella,Rumex acetosa-t
Rumex acetosella                        ,Rumex acetosa-t
RUMEX ACETOSELLA COLL.,Rumex acetosa-t
RUMEX ACETOSELLA COLL.  ,Rumex acetosa-t
Rumex acetosella -t.,Rumex acetosa-t
Rumex acetosella t. ,Rumex acetosa-t
Rumex acetosella type,Rumex acetosa-t
RUMEX ACETOSELLA TYPE,Rumex acetosa-t
Rumex acetosella/acetosa,Rumex acetosa-t
Rumex acetosella\oxyria,Rumex acetosa-t
Rumex acetosella=Rumex acetosella-type,Rumex acetosa-t
Rumex acetosella-Typ,Rumex acetosa-t
Rumex acetosella-type,Rumex acetosa-t
Rumex alpestris,Rumex acetosa-t
Rumex alpinus,Rumex acetosa-t
Rumex alpinus type,Rumex acetosa-t
Rumex aquaticus,zz.do not use
Rumex aquaticus group,zz.do not use
Rumex aquaticus type,zz.do not use
Rumex aquaticus-Typ,zz.do not use
Rumex aquaticus-type,zz.do not use
Rumex aquaticus-type,zz.do not use
Rumex aquifolium,zz.do not use
Rumex cf. r. hydrolapathum,zz.do not use
Rumex cf. R. obtusifolius,Rumex acetosa-t
RUMEX CONGLOMERATUS type,Rumex acetosa-t
Rumex conglomeratus-type,Rumex acetosa-t
Rumex crispus,Rumex acetosa-t
Rumex crispus type,Rumex acetosa-t
RUMEX CRISPUS TYPE,Rumex acetosa-t
RUMEX CRISPUS type,Rumex acetosa-t
Rumex crispus type,Rumex acetosa-t
Rumex crispus-type,Rumex acetosa-t
Rumex crispus-type,Rumex acetosa-t
Rumex crispus-type=Rumex longifolius-type,Rumex acetosa-t
Rumex cyprius type,zz.do not use
Rumex domesticus - skräppor,zz.do not use
Rumex eurumex-type ,zz.do not use
Rumex hydrolapathum,zz.do not use
Rumex hydrolapathum type,zz.do not use
RUMEX HYDROLAPATHUM TYPE,zz.do not use
Rumex hydrolapatum,zz.do not use
Rumex hydrolapthum type,zz.do not use
Rumex indet.,zz.do not use
Rumex longifolius,zz.do not use
Rumex longifolius t.,zz.do not use
Rumex longifolius -t.,zz.do not use
Rumex longifolius-type,zz.do not use
Rumex obt,Rumex acetosa-t
Rumex obt.,Rumex acetosa-t
Rumex obt. gr.,Rumex acetosa-t
Rumex obtivsifolius,Rumex acetosa-t
Rumex obtusifolia,Rumex acetosa-t
Rumex obtusifolia type,Rumex acetosa-t
Rumex obtusifolia-t,Rumex acetosa-t
Rumex obtusifolia-Typ,Rumex acetosa-t
Rumex obtusifolia-type,Rumex acetosa-t
Rumex obtusifolius,Rumex acetosa-t
RUMEX OBTUSIFOLIUS,Rumex acetosa-t
rumex obtusifolius,Rumex acetosa-t
Rumex obtusifolius ,Rumex acetosa-t
Rumex obtusifolius type,Rumex acetosa-t
Rumex obtusifolius-t,Rumex acetosa-t
Rumex obtusifolius-Typ,Rumex acetosa-t
Rumex obtusifolius-type,Rumex acetosa-t
Rumex obtusifolius-type                 ,Rumex acetosa-t
Rumex obtusifolus-type=Rumex aquaticus-type,Rumex acetosa-t
Rumex obtusofolius,Rumex acetosa-t
Rumex ospec. - skräppor,zz.do not use
Rumex palustris-type,zz.do not use
Rumex patentia type,zz.do not use
Rumex rå,Rumex acetosa-t
Rumex sanguinea,Rumex acetosa-t
Rumex sanguineas-type,Rumex acetosa-t
Rumex sanguineas-type                   ,Rumex acetosa-t
Rumex sanguineus,Rumex acetosa-t
Rumex sanguineus  ,Rumex acetosa-t
Rumex sanguineus type,Rumex acetosa-t
Rumex sanguineus-type,Rumex acetosa-t
Rumex scutatus,Rumex acetosa-t
Rumex scutatus type,Rumex acetosa-t
Rumex scutatus-Typ,Rumex acetosa-t
Rumex scutatus-type,Rumex acetosa-t
RUMEX SP,Rumex acetosa-t
Rumex sp,Rumex acetosa-t
Rumex sp.,Rumex acetosa-t
RUMEX SPP,Rumex acetosa-t
Rumex subg. Acetosa/R. subg. Acetosella,Rumex acetosa-t
Rumex subg. Rumex-type,Rumex acetosa-t
Rumex Subgen. Acetosa,Rumex acetosa-t
Rumex Subgen. Acetosa/R. Subgen. Acetosella,Rumex acetosa-t
Rumex type,Rumex acetosa-t
RUMEX TYPE,Rumex acetosa-t
Rumex und,Rumex acetosa-t
rumex undiff,Rumex acetosa-t
Rumex undiff,Rumex acetosa-t
Rumex undiff.,Rumex acetosa-t
Rumex undiff.                           ,Rumex acetosa-t
Rumex ,Rumex acetosa-t
Rumex/Oxyria,Rumex acetosa-t
Rumex/Oxyria,Rumex acetosa-t
Rumex/Oxyria-type,Rumex acetosa-t
RUMEX_ACLA,Rumex acetosa-t
RUMEX_AE,Rumex acetosa-t
RUMEX_AQUA,zz.do not use
RUMEX_CRIS,Rumex acetosa-t
RUMEX_ELLA,zz.do not use
RUMEX_TYPE,Rumex acetosa-t
Rumex=Rumex undiff.,Rumex acetosa-t
RUMEXAC_LA,Rumex acetosa-t
RumexAce,Rumex acetosa-t
RumexAct,Rumex acetosa-t
RumexSp,Rumex acetosa-t
Rumex-type,Rumex acetosa-t
RumSp,Rumex acetosa-t
Run depth,zz.do not use
Ruppia,zz.do not use
Ruppia,zz.do not use
Ruta,zz.do not use
Ruta,zz.do not use
Rutaceae,zz.do not use
Rutaceae,zz.do not use
Rynanthus-type,zz.do not use
S.bentori,zz.do not use
S.bulloideus,zz.do not use
S.membranaceus,zz.do not use
S.ramosus,zz.do not use
Saggitaria,zz.do not use
Sagina,zz.do not use
SAGINA,zz.do not use
Sagina,zz.do not use
Sagina nodosa-Gruppe,zz.do not use
Sagina procumbens group,zz.do not use
Sagina procumbens-type,zz.do not use
Sagina saginoides,zz.do not use
Sagina type,zz.do not use
sagina type,zz.do not use
Sagina-type,zz.do not use
Sagittaria,zz.do not use
SAGITTARIA,zz.do not use
Sagittaria,zz.do not use
Sagittaria sagittifolia,zz.do not use
Sagittaria sagittifolia type,zz.do not use
Sagittaria-type,zz.do not use
Salix,Salix
SALIX,Salix
salix,Salix
Salix,Salix
SALIX,Salix
Salix ,Salix
SALIX ,Salix
Salix  ,Salix
Salix   ,Salix
SALIX   ,Salix
Salix                                   ,Salix
"Salix - sälg, vide",Salix
Salix clump,Salix
Salix glauca-type,Salix
Salix helvetica-type,Salix
Salix herbacea,Salix
Salix herbacea -t.,Salix
Salix herbaceae-type,Salix
Salix herbacea-type,Salix
Salix pentandra-type,Salix
Salix polaris-type,Salix
Salix rå,Salix
Salix rå ,Salix
Salix retusa-type,Salix
SALIX SPP,Salix
Salix T,Salix
Salix undiff.,Salix
Salix undifferentiated,Salix
Salix ,Salix
Salsola,Amanranthaceae/Chenopodiaceae
Salsola type,Amanranthaceae/Chenopodiaceae
Salvadoraceae,zz.do not use
Salvia,zz.do not use
Salvia,zz.do not use
Salvia ,zz.do not use
Salvia type,zz.do not use
Salvia type,zz.do not use
Salvia-Typ,zz.do not use
Salvia-type,zz.do not use
Salvia-type,zz.do not use
Salvinia,zz.do not use
Salvinia,zz.do not use
SAMBU_NIGR,zz.do not use
Sambuccus,zz.do not use
SambucNi,zz.do not use
Sambucus,zz.do not use
SAMBUCUS,zz.do not use
sambucus,zz.do not use
Sambucus,zz.do not use
SAMBUCUS,zz.do not use
Sambucus ,zz.do not use
Sambucus ,zz.do not use
Sambucus cf. S. nigra,zz.do not use
Sambucus cf. S. racemosa,zz.do not use
Sambucus ebulus,zz.do not use
SAMBUCUS EBULUS,zz.do not use
Sambucus ebulus-type,zz.do not use
Sambucus nigra,zz.do not use
SAMBUCUS NIGRA,zz.do not use
Sambucus nigra,zz.do not use
Sambucus nigra ,zz.do not use
SAMBUCUS NIGRA  ,zz.do not use
Sambucus nigra t.,zz.do not use
Sambucus nigra type,zz.do not use
Sambucus nigra type,zz.do not use
Sambucus nigra type rå,zz.do not use
Sambucus nigra/racemosa,zz.do not use
Sambucus nigra/S. racemosa,zz.do not use
Sambucus nigra/S. racemosa,zz.do not use
Sambucus nigra-Typ,zz.do not use
Sambucus nigra-typ,zz.do not use
Sambucus nigra-typ - fläder,zz.do not use
Sambucus nigra-type,zz.do not use
Sambucus nigra-type,zz.do not use
Sambucus nigrum,zz.do not use
Sambucus rå,zz.do not use
Sambucus racemosa,zz.do not use
Sambucus racemosa-type,zz.do not use
Sambucus type,zz.do not use
Sambucus undiff.,zz.do not use
Sambucus-typ - fläder,zz.do not use
Sambucus-type,zz.do not use
Sambuscus,zz.do not use
Sambuscus ebulus,zz.do not use
SAMGUISORBA,zz.do not use
Sammelgruppe Apiaceae,zz.do not use
Sammelgruppe Vaccinium-Typ,Ericaceae
Samolus,zz.do not use
Samolus valerandi,zz.do not use
Samolus valerandi,zz.do not use
Sample,zz.do not use
sample,zz.do not use
Sample,zz.do not use
Sample age,zz.do not use
Sample age (DB chronology),zz.do not use
Sample age (EPD default),zz.do not use
Sample age (uncal.),zz.do not use
sample depth (cm),zz.do not use
Sample depth (cm),zz.do not use
Sample number,zz.do not use
Sample Volume,zz.do not use
Sample volume,zz.do not use
SAMPLE VOLUME,zz.do not use
Sample volume (cm\^3\^),zz.do not use
Sample volume (ml),zz.do not use
Sample volume (ml),zz.do not use
sample weight,zz.do not use
Sample weight,zz.do not use
Samplenumbers,zz.do not use
Samulus,zz.do not use
San off,zz.do not use
Sangminor-type,zz.do not use
Sangui min,zz.do not use
SANGUI_OFF,zz.do not use
SANGUIS_MN,zz.do not use
SanguisM,zz.do not use
Sanguisoba minor,zz.do not use
Sanguisoba officinalis,zz.do not use
SANGUISORB.OFF.,zz.do not use
Sanguisorba,zz.do not use
SANGUISORBA,zz.do not use
Sanguisorba,zz.do not use
SANGUISORBA,zz.do not use
Sanguisorba minor,zz.do not use
SANGUISORBA MINOR,zz.do not use
sanguisorba minor,zz.do not use
Sanguisorba minor,zz.do not use
Sanguisorba minor ,zz.do not use
Sanguisorba minor ssp. minor,zz.do not use
Sanguisorba minor T,zz.do not use
SANGUISORBA MINOR t.,zz.do not use
Sanguisorba minor type,zz.do not use
Sanguisorba minor type,zz.do not use
Sanguisorba minor-t,zz.do not use
Sanguisorba minor-Typ,zz.do not use
Sanguisorba minor-type,zz.do not use
Sanguisorba minor-type,zz.do not use
Sanguisorba off,zz.do not use
SANGUISORBA OFF,zz.do not use
Sanguisorba off.,zz.do not use
Sanguisorba officianlis type,zz.do not use
Sanguisorba officinal,zz.do not use
Sanguisorba officinale,zz.do not use
Sanguisorba officinalis,zz.do not use
SANGUISORBA OFFICINALIS,zz.do not use
Sanguisorba officinalis,zz.do not use
Sanguisorba officinalis ,zz.do not use
Sanguisorba officinalis type,zz.do not use
Sanguisorba officinalis ,zz.do not use
Sanguisorba T.,zz.do not use
Sanguisorba type,zz.do not use
Sanguisorba-type,zz.do not use
SanicEur,zz.do not use
Sanicula,zz.do not use
SANICULA EUROP,zz.do not use
Sanicula europaea,zz.do not use
SANICULA EUROPAEA,zz.do not use
Sanicula europaea,zz.do not use
SANICULA EUROPAEUS,zz.do not use
Sanicula type,zz.do not use
Sanicula-type,zz.do not use
Santalaceae,zz.do not use
Saponaria,zz.do not use
SAPONARIA,zz.do not use
Saponaria,zz.do not use
Saponaria officinalis,zz.do not use
Sapotaceae,zz.do not use
Sarcocapnos,zz.do not use
Sarcopot,zz.do not use
Sarcopoterium,zz.do not use
Sarcopoterium,zz.do not use
Sarcopoterium spinosum,zz.do not use
SAROTHAMN,zz.do not use
Sarothamnus scoparius,zz.do not use
SAROTHAMNUS SCOPARIUS,zz.do not use
Sarrasin,zz.do not use
Sassurea t.,zz.do not use
Sausserea-type,zz.do not use
Saussurea,zz.do not use
Saussurea alpina,zz.do not use
Saussurea type,zz.do not use
Saussurea=Saussurea-type,zz.do not use
Saussurea-Typ,zz.do not use
Saussurea-type,zz.do not use
Saussurea-type,zz.do not use
Sausurea,zz.do not use
Sax granulata,zz.do not use
Sax opp,zz.do not use
Sax stellaria,zz.do not use
Saxaizoides-type,zz.do not use
Saxhirculus-type,zz.do not use
SaxifA,zz.do not use
SaxifH,zz.do not use
SAXIFR_GRT,zz.do not use
SAXIFR_TYP,zz.do not use
Saxifraga,zz.do not use
SAXIFRAGA,zz.do not use
Saxifraga,zz.do not use
SAXIFRAGA,zz.do not use
Saxifraga (hirculus),zz.do not use
Saxifraga aizoides,zz.do not use
Saxifraga aizoides - Gruppe,zz.do not use
SAXIFRAGA AIZOIDES T,zz.do not use
Saxifraga aizoides type,zz.do not use
Saxifraga aizoides-Typ,zz.do not use
Saxifraga aizoides-type,zz.do not use
Saxifraga cernua -t.,zz.do not use
Saxifraga cernua/S.rivularis,zz.do not use
Saxifraga cernua-type,zz.do not use
Saxifraga cespitosa,zz.do not use
Saxifraga cespitosa -t.,zz.do not use
Saxifraga cespitosa-type,zz.do not use
Saxifraga cf. S. aizoides,zz.do not use
Saxifraga cf. S. hirculus,zz.do not use
Saxifraga cf. S. nivalis,zz.do not use
Saxifraga cf. stellaris-type            ,zz.do not use
Saxifraga granulata,zz.do not use
Saxifraga granulata type,zz.do not use
SAXIFRAGA GRANULATA TYPE,zz.do not use
Saxifraga granulata type rå,zz.do not use
Saxifraga granulata-type,zz.do not use
Saxifraga granulata-type,zz.do not use
SAXIFRAGA HIRC,zz.do not use
Saxifraga hirculus type,zz.do not use
SAXIFRAGA HIRCULUS TYPE,zz.do not use
Saxifraga hirculus-Typ,zz.do not use
Saxifraga hirculus-type,zz.do not use
Saxifraga hirsuta type,zz.do not use
Saxifraga hirsuta-type,zz.do not use
Saxifraga hirsuta-type,zz.do not use
saxifraga hypnoides type,zz.do not use
Saxifraga lacustris -t.,zz.do not use
saxifraga nivalis,zz.do not use
Saxifraga nivalis,zz.do not use
Saxifraga nivalis type,zz.do not use
Saxifraga nivalis/S.tenuis,zz.do not use
Saxifraga nivalis-type,zz.do not use
SAXIFRAGA OPP,zz.do not use
Saxifraga oppositifolia,zz.do not use
saxifraga oppositifolia,zz.do not use
SAXIFRAGA OPPOSITIFOLIA,zz.do not use
Saxifraga oppositifolia T,zz.do not use
Saxifraga oppositifolia -t.,zz.do not use
Saxifraga oppositifolia type,zz.do not use
saxifraga oppositifolia type,zz.do not use
SAXIFRAGA OPPOSITIFOLIA TYPE,zz.do not use
Saxifraga oppositifolia-Typ,zz.do not use
Saxifraga oppositifolia-type,zz.do not use
Saxifraga oppositifolia-type,zz.do not use
Saxifraga rosacea,zz.do not use
SAXIFRAGA STELL,zz.do not use
Saxifraga stellaris,zz.do not use
Saxifraga stellaris -t.,zz.do not use
Saxifraga stellaris Typ,zz.do not use
Saxifraga stellaris type,zz.do not use
saxifraga stellaris type,zz.do not use
SAXIFRAGA STELLARIS TYPE,zz.do not use
Saxifraga stellaris-t,zz.do not use
Saxifraga stellaris-Typ,zz.do not use
Saxifraga stellaris-type,zz.do not use
Saxifraga stellaris-type,zz.do not use
SAXIFRAGA T,zz.do not use
Saxifraga tridactylites,zz.do not use
Saxifraga type,zz.do not use
SAXIFRAGA UNDIFF.,zz.do not use
Saxifraga undifferentiated,zz.do not use
saxifragacae,zz.do not use
Saxifragaceae,zz.do not use
SAXIFRAGACEAE,zz.do not use
saxifragaceae,zz.do not use
Saxifragaceae,zz.do not use
SAXIFRAGACEAE ?,zz.do not use
saxifragaceae undiff,zz.do not use
Saxifragaceae undiff.,zz.do not use
Saxifraga-type,zz.do not use
Saxigfraga cespitosa-type,zz.do not use
Saxigraga hirsuta-type,zz.do not use
Saxstellaris-type,zz.do not use
Sc. ann,zz.do not use
Scabiosa,zz.do not use
SCABIOSA,zz.do not use
scabiosa,zz.do not use
Scabiosa,zz.do not use
SCABIOSA,zz.do not use
Scabiosa  ,zz.do not use
Scabiosa - fältvädd,zz.do not use
Scabiosa argentea,zz.do not use
Scabiosa columbaria,zz.do not use
Scabiosa columbaria type,zz.do not use
Scabiosa columbaria-Typ,zz.do not use
Scabiosa columbaria-type,zz.do not use
Scabiosa palestina,zz.do not use
Scabiosa pratensis type,zz.do not use
Scabiosa rå,zz.do not use
Scabiosa rotata type,zz.do not use
Scabiosa type,zz.do not use
Scabiosa undiff.,zz.do not use
Scandix pecten-veneris,zz.do not use
Scandix pecten-veneris/Caucalis platycarpos,zz.do not use
SCANDIX T,zz.do not use
Scenedesmus,zz.do not use
Scenedesmus,zz.do not use
Scheuchzeria,zz.do not use
SCHEUCHZERIA,zz.do not use
Scheuchzeria palustris,zz.do not use
SCHEUCHZERIA PALUSTRIS,zz.do not use
Scheuchzeria palustris,zz.do not use
SCHEUZERIA,zz.do not use
Scheuzeuria,zz.do not use
Schoenopl,Cyperaceae
Schoenoplectus,Cyperaceae
Schoenoplectus t,Cyperaceae
SCHOENOPLECTUS TYPE,Cyperaceae
Schoenoplectus type,Cyperaceae
SCHOENOPLECTUS-T.,Cyperaceae
Schoenoplectus-type,Cyperaceae
Schoenus,Cyperaceae
SCHOENUS TYPE,Cyperaceae
Schoenus type,Cyperaceae
Schoenus-type,Cyperaceae
Schropulariaceae,zz.do not use
Sciadopitys verticillata,zz.do not use
Scilla,zz.do not use
scilla,zz.do not use
Scilla T,zz.do not use
SCILLA T,zz.do not use
Scilla type,zz.do not use
Scilla-type,zz.do not use
Scirpus,Cyperaceae
Scirpus alba,Cyperaceae
SCIRPUS LACUSTRIS TYPE,Cyperaceae
Scirpus lacustris-type,Cyperaceae
Scirpus maritimus,Cyperaceae
SCIRPUS MARITIMUS,Cyperaceae
Scirpus Sect. Pterolepis-type,Cyperaceae
Scirpus-type,Cyperaceae
Scirpus-type,Cyperaceae
SclerAnn,zz.do not use
SCLERANTHU,zz.do not use
Scleranthus,zz.do not use
Scleranthus,zz.do not use
Scleranthus ,zz.do not use
Scleranthus annus,zz.do not use
Scleranthus annuus,zz.do not use
SCLERANTHUS ANNUUS,zz.do not use
Scleranthus annuus,zz.do not use
SCLERANTHUS ANNUUS  ,zz.do not use
Scleranthus annuus t,zz.do not use
Scleranthus perennis,zz.do not use
SCLERANTHUS PERENNIS,zz.do not use
Scleranthus perennis,zz.do not use
Scleranthus perennis t,zz.do not use
Scleranthus perennis-Typ,zz.do not use
Scleranthus type,zz.do not use
SCLERANTHUS TYPE,zz.do not use
Scleranthus-t,zz.do not use
Scleranthus-Typ,zz.do not use
Scleranthus-type,zz.do not use
Sclerantus annus - grönknavel,zz.do not use
Scleroderma,zz.do not use
SclerPer,zz.do not use
ScophVer,zz.do not use
Scorzonaire type,zz.do not use
Scorzonaria type,zz.do not use
Scorzonera,zz.do not use
SCORZONERA HUMILIS,zz.do not use
Scorzonera humilis type,zz.do not use
Scorzonera humilis-type,zz.do not use
Scorzonera humilis-type,zz.do not use
Scorzonera type,zz.do not use
Scrofularia,zz.do not use
Scrofulariaceae,zz.do not use
SCROFULARIACEAE,zz.do not use
Scrofulariaceae,zz.do not use
SCROPH_NOD,zz.do not use
SCROPHU_T,zz.do not use
Scrophul.,zz.do not use
Scrophulari,zz.do not use
Scrophularia,zz.do not use
Scrophularia aquatica,zz.do not use
Scrophularia canina type,zz.do not use
Scrophularia nodosa,zz.do not use
Scrophularia T,zz.do not use
Scrophularia t.,zz.do not use
Scrophularia t. ,zz.do not use
Scrophularia type,zz.do not use
SCROPHULARIA TYPE,zz.do not use
Scrophularia type  ,zz.do not use
Scrophularia/Verbascum,zz.do not use
Scrophularia\i,zz.do not use
Scrophulariaceae,zz.do not use
SCROPHULARIACEAE,zz.do not use
scrophulariaceae,zz.do not use
Scrophulariaceae,zz.do not use
SCROPHULARIACEAE,zz.do not use
Scrophulariaceae ,zz.do not use
Scrophulariaceae (colporate-reticulate),zz.do not use
Scrophulariaceae (colporate-reticulate),zz.do not use
Scrophulariaceae p.p.,zz.do not use
SCROPHULARIACEAE SPP,zz.do not use
Scrophulariaceae type rhinanthus,zz.do not use
Scrophulariaceae undiff.,zz.do not use
SCROPHULARIACEAE UNDIFF.,zz.do not use
Scrophulariaceae ,zz.do not use
Scrophulariaceae/F.ornus,zz.do not use
Scrophularia-Typ,zz.do not use
Scrophularia-type,zz.do not use
Scrophularia-type,zz.do not use
Scrophularia-type=Verbascum-type,zz.do not use
SCROPHULLARIACEAE,zz.do not use
SCUTELLA_T,zz.do not use
SCUTELLAR,zz.do not use
Scutellaria,zz.do not use
scutellaria,zz.do not use
SCUTELLARIA,zz.do not use
Scutellaria type,zz.do not use
Scutellaria-type,zz.do not use
Scutellaria-type,zz.do not use
Scutellaria-type                        ,zz.do not use
sd,zz.do not use
Sec cer,Secale
Secale,Secale
SECALE,Secale
secale,Secale
Secale,Secale
Secale ,Secale
SECALE  ,Secale
SECALE   ,Secale
Secale (rudzi),Secale
Secale cer,Secale
Secale cerale,Secale
Secale cereale,Secale
SECALE CEREALE,Secale
Secale cereale,Secale
Secale cereale ,Secale
Secale cereale - råg,Secale
Secale cereale rå,Secale
SECALE SEREALE ,Secale
SECALE t.,Secale
Secale type,Secale
Secale type,Secale
Secale ,Secale
Secales,Secale
Secale-t,Secale
Secale-t,Secale
Secale-Typ,Secale
Secale-type,Secale
Sediment volume,zz.do not use
Sedimentationstid (år/cm),zz.do not use
Sedum,zz.do not use
SEDUM,zz.do not use
sedum,zz.do not use
Sedum,zz.do not use
SEDUM ,zz.do not use
Sedum  ,zz.do not use
SEDUM   ,zz.do not use
Sedum acre,zz.do not use
Sedum acre type,zz.do not use
Sedum acre-type,zz.do not use
Sedum rosea,zz.do not use
Sedum rosea type,zz.do not use
SEDUM SPP,zz.do not use
SEDUM T,zz.do not use
Sedum t.,zz.do not use
SEDUM t.,zz.do not use
Sedum type,zz.do not use
Sedum type  ,zz.do not use
Sedum undiff.,zz.do not use
Sedum/Rhodiola,zz.do not use
Sedum/Sempervivum,zz.do not use
SEDUM/SEMPERVIVUM,zz.do not use
Sedum-Typ,zz.do not use
Sedum-type,zz.do not use
Sedum-type,zz.do not use
Selaginella,zz.do not use
selaginella,zz.do not use
SELAGINELLA,zz.do not use
Selaginella,zz.do not use
SELAGINELLA ,zz.do not use
SELAGINELLA DENTICULATA,zz.do not use
Selaginella helvetica,zz.do not use
Selaginella helvetica type,zz.do not use
Selaginella helvetica-type,zz.do not use
Selaginella selag.,zz.do not use
Selaginella selaginoides,zz.do not use
SELAGINELLA SELAGINOIDES,zz.do not use
Selaginella selaginoides,zz.do not use
Selaginella selaginoides ,zz.do not use
Selaginella selaginoides                ,zz.do not use
Selaginella selaginoides ,zz.do not use
Selaginella selagioides,zz.do not use
Selaginella type,zz.do not use
Selaginella willdenowii,zz.do not use
Selaginella-t,zz.do not use
Selaginelle,zz.do not use
SELINUM CARVIFOL,zz.do not use
Selinum carvifolia,zz.do not use
Selinum carvifolia/pyrenaeum,zz.do not use
Sempervivum,zz.do not use
Senec,zz.do not use
Senecio,zz.do not use
Senecio cf. S. congestus,zz.do not use
SENECIO T,zz.do not use
Senecio type,zz.do not use
SENECIO TYPE,zz.do not use
Senecio-Typ,zz.do not use
Senecio-type,zz.do not use
Senecio-type,zz.do not use
Sequoia,zz.do not use
Serratula,zz.do not use
SERRATULA,zz.do not use
Serratula (Arctium) type,zz.do not use
Serratula T,zz.do not use
Serratula T.,zz.do not use
Serratula type,zz.do not use
SERRATULA-T.,zz.do not use
Serratula-Typ,zz.do not use
Serratula-type,zz.do not use
Serratula-type=Arctium-type,zz.do not use
Sesamoides,zz.do not use
Sesamum,zz.do not use
SESELI LIBANOTIS T,zz.do not use
Seseli libanotis type,zz.do not use
Seseli type,zz.do not use
Seseli-type,zz.do not use
Seseli-type,zz.do not use
shade tolerant trees and shrubs,zz.do not use
Shagnales,zz.do not use
Sherardia arvensis,zz.do not use
SHERARDIA ARVENSIS,zz.do not use
Shrubs,zz.do not use
SHRUBS,zz.do not use
SHRUBS AND DWARF SHRUBS,zz.do not use
Sideritiis,zz.do not use
Sideritis,zz.do not use
SIDERITIS,zz.do not use
Sideritis,zz.do not use
Sideritis hirsuta,zz.do not use
Sideritis tetracolpate,zz.do not use
sign of burning (yes/no),zz.do not use
SILAUM SILAUS,zz.do not use
Silaum silaus,zz.do not use
Silaum silaus,zz.do not use
Silenaceae,zz.do not use
Silene,zz.do not use
SILENE,zz.do not use
Silene,zz.do not use
Silene acaulis,zz.do not use
Silene acaulis-type,zz.do not use
SILENE CF CUCUBALUS,zz.do not use
Silene cf. S. acaulis,zz.do not use
Silene cf. S. nutans,zz.do not use
Silene cf. S.acaulis,zz.do not use
SILENE DIOICA,zz.do not use
Silene dioica,zz.do not use
Silene dioica -t.,zz.do not use
Silene dioica type,zz.do not use
silene dioica type,zz.do not use
Silene dioica-Typ,zz.do not use
Silene dioica-type,zz.do not use
Silene dioica-type                      ,zz.do not use
Silene nutans,zz.do not use
Silene p.p.,zz.do not use
Silene pratensis,zz.do not use
Silene rupestris,zz.do not use
SILENE T,zz.do not use
Silene type,zz.do not use
SILENE TYPE,zz.do not use
Silene undiff.,zz.do not use
Silene vulgaris,zz.do not use
Silene vulgaris group,zz.do not use
Silene vulgaris type,zz.do not use
